English,Shakespearean
You haven't got it in you to frown or look displeased or bite your lip as angry women do .,"Thou canst not frown , thou canst not look askance , Nor bite the lip as angry wenches will , Nor hast thou pleasure to be cross in talk ."
"No , you entertain your suitors with mild and gentle conversation , quiet and pleasant .","But thou with mildness entertain'st thy wooers , With gentle conference , soft and affable ."
Why does the world report that Kate is lame ?,Why does the world report that Kate doth limp ?
The world's a liar .,O slanderous world !
"Kate is as straight and slender as a hazel-twig , her hair as brown as hazelnut shells , and she herself sweeter than the kernels .","Kate like the hazel-twig Is straight and slender and as brown in hue As hazel nuts , and sweeter than the kernels ."
"Take a few steps , I want to see you walk .","Oh , let me see thee walk !"
Did Diana ever beautify a grove as much as Kate beautifies this room with her queenly movements ?,Did ever Dian so become a grove As Kate this chamber with her princely gait ?
It's born of my A witty mother !,A witty mother !
Too bad about the son !,Witless else her son .
Am I not wise ?,Am I not wise ?
I'm the man who was born to tame you and change you from a wildcat Kate into a Kate as gentle and domestic as other household Kates .,"For I am he am born to tame you , Kate , And bring you from a wild Kate to a Kate Conformable as other household Kates ."
I almost recognize that voice .,I should know that voice .
"It's , But he's drowned , and these guys are devils .","It should be , But he is drowned , and these are devils ."
"Oh , God help me !","Oh , defend me !"
"Four legs and two voices , a very special monster .","Four legs and two voices , a most delicate monster ."
One voice speaks well and talks about his friend .,His forward voice now is to speak well of his friend .
The other voice is harsh and abusive .,His backward voice is to utter foul speeches and to detract .
"If it takes all the wine in my bottle , I'll cure him .","If all the wine in my bottle will recover him , I will help his ague ."
Come on .,Come .
CALIBAN Stephano !,Stephano !
Is your other mouth calling my name ?,Doth thy other mouth call me ?
"Mercy , mercy !","Mercy , mercy !"
"This isn't a monster , it's a devil .","This is a devil , and no monster ."
I'll leave him alone .,I will leave him .
I have no interest in getting mixed up with the devil .,I have no long spoon .
Stephano !,Stephano !
"If you're Stephano , touch me and speak to me .","If thou beest Stephano , touch me and speak to me ."
"I'm Trinculo , don't be scared , your good friend Trinculo .","For I am Trinculo , be not afeard , thy good friend Trinculo ."
"If you're Trinculo , then come out .","If thou beest Trinculo , come forth ."
I'll pull on these smaller legs .,I'll pull thee by the lesser legs .
"If any legs here are Trinculo's , these are .","If any be Trinculo's legs , these are they ."
"But aren't you drowned , Stephano ?","But art thou not drowned , Stephano ?"
I hope you're not drowned .,I hope now thou art not drowned .
Has the storm passed ?,Is the storm overblown ?
I hid under this monster's cloak to get out of the storm .,I hid me under the dead mooncalf's gaberdine for fear of the storm .
"Are you really alive , Stephano ?","And art thou living , Stephano ?"
"Oh , Stephano , two men from Naples survived !","O Stephano , two Neapolitans 'scaped !"
Please stop turning me around .,"Prithee , do not turn me about ."
My stomach's a little upset .,My stomach is not constant .
I swam ashore like a duck .,"Swum ashore , man , like a duck ."
"I can swim like a duck , I swear .","I can swim like a duck , I'll be sworn ."
"Here ,","Here , kiss the book ."
"Oh Stephano , do you have any more of that wine ?","O Stephano , hast any more of this ?"
"I've got the whole barrel , man .","The whole butt , man ."
"You come from heaven , don't you ?",Hast thou not dropped from heaven ?
"No , from the moon , I'm telling you .","Out o ' th ' moon , I do assure thee ."
I used to be the man in the moon a long time ago .,I was the man i ' the moon when time was .
My mistress showed me you in the moon and your dog and your bush .,My mistress showed me thee and thy dog and thy bush .
I can't believe I was scared of him !,I afeard of him !
A pretty pathetic monster .,A very weak monster .
The man in the moon !,The man i ' th ' moon !
"What a poor , gullible monster. , That was a nice big gulp , monster !","A most poor credulous monster. , Well drawn , monster , in good sooth !"
"What a lying , drunken monster .","By this light , a most perfidious and drunken monster ."
"When his god falls asleep , the monster will snatch his wine bottle .","When 's god's asleep , he'll rob his bottle ."
"Come on , then .",Come on then .
Get down and swear it .,"Down , and swear ."
I'm going to laugh myself to death over this silly monster .,I shall laugh myself to death at this puppy-headed monster .
"A rotten , foolish monster .",A most scurvy monster .
"I could find it in my heart to beat him , Come on , kiss my feet .","I could find in my heart to beat him , But that the poor monster's in drink ."
An awful monster !,An abominable monster !
I'll show you where to get fresh water .,I'll show thee the best springs .
I'll pick berries for you .,I'll pluck thee berries .
I'll fish for you and get you plenty of firewood .,I'll fish for thee and get thee wood enough .
The tyrant I'm serving now can go to hell !,A plague upon the tyrant that I serve !
"What a silly monster , to think a poor drunk is wonderful .","A most ridiculous monster , to make a wonder of a poor drunkard ."
"Show us the way without further delay. , Trinculo , since the king and all our comrades are drowned , we're the heirs of this place. , Here , carry my wine bottle. , Trinculo , my buddy , we'll get that bottle refilled soon enough .","I prithee now , lead the way without any more talking. , Trinculo , the king and all our company else being drowned , we will inherit here. , Here , bear my bottle. , Fellow Trinculo , we'll fill him by and by again ."
"A loud-mouthed , drunken monster .","A howling monster , a drunken monster ."
Good monster !,O brave monster !
Show us the way .,Lead the way .
Right now I'd give a thousand,"Now would I give a thousand furlongs of sea for an acre of barren ground : long heath , brown furze , anything ."
Some kinds of lowly activities are done for noble reasons .,Some kinds of baseness Are nobly undergone .
And you can do poor things that lead to rich results .,And most poor matters Point to rich ends .
