,input,target
15884,"It's supper time, my lord.","It's suppertime , my lord ."
15885,The time is nine o'clock.,It's nine o'clock .
15886,I will not be doing anything tonight.,I will not sup tonight .
15887,Give me some paper and ink.,Give me some ink and paper .
15888,Is it easier for my beaver to do than it was?,"What , is my beaver easier than it was ?"
15889,My tent was covered with all my armor.,And all my armor laid into my tent ?
15890,"Good Norfolk, hie thee to your charge.","Good Norfolk , hie thee to thy charge ."
15891,"My lord, I am going.","I go , my lord ."
15892,"Stir with the lark tomorrow, gentle Norfolk.","Stir with the lark tomorrow , gentle Norfolk ."
15893,"My lord, I warrant you.","I warrant you , my lord ."
15894,There is a person named catesby.,Catesby .
15895,"My lord, I am indebted to you.",My lord .
15896,"My lord, I am indebted to you.",My lord .
15897,Is it possible that the melancholy Lord Northumberland was Sawst Thou?,Sawst thou the melancholy Lord Northumberland ?
15898,"From troop to troop, Thomas the earl went through the army to cheer up the soldiers.","Thomas the earl of Surrey and himself , Much about cockshut time , from troop to troop Went through the army cheering up the soldiers ."
15899,I am satisfied.,"So , I am satisfied ."
15900,Set it down and let it go.,Set it down .
15901,Is ink and paper ready for use?,Is ink and paper ready ?
15902,"My lord, it is, my lord.","It is , my lord ."
15903,Ratcliffe came to my tent about the mid of the night to help me.,"Ratcliffe , about the mid of night come to my tent And help to arm me ."
15904,I would like to leave me.,"Leave me , I say ."
15905,Fortune and victory are sitting on the helm.,Fortune and victory sit on thy helm !
15906,The dark night can afford comfort to a person like the father-in-law.,"All comfort that the dark night can afford Be to thy person , noble father-in-law ."
15907,Tell me how we fare against our mother.,"Tell me , how fares our loving mother ?"
15908,"I bless thee from my mother, who prays continually for the good of the city.","I , by attorney , bless thee from thy mother , Who prays continually for Richmond's good ."
15909,"Prepare your battle early in the morning, and put your fortune to the arbitrament of bloody strokes and mortal-staring war, because the season bids us be.","In brief , for so the season bids us be , Prepare thy battle early in the morning , And put thy fortune to the arbitrament Of bloody strokes and mortal-staring war ."
15910,"The best advantage will deceive the time, and aid thee in this doubtful shock of arms, as I can not.","I , as I may , that which I would I can not , , With best advantage will deceive the time , And aid thee in this doubtful shock of arms ."
15911,"I may not be too forward, Lest, being seen, George, and his brother, tender George, being executed in his father's sight.","But on thy side I may not be too forward , Lest , being seen , thy brother , tender George , Be executed in his father's sight ."
15912,The farewell is over.,Farewell .
15913,The leisure and the fearful time cut off the ceremonious vows of love. Which so-long-sundered friends should dwell upon?,"The leisure and the fearful time Cuts off the ceremonious vows of love And ample interchange of sweet discourse , Which so-long-sundered friends should dwell upon ."
15914,We are given leisure by the Almighty for these rituals of love.,God give us leisure for these rites of love !
15915,"It's adieu, once more.","Once more , adieu ."
15916,Speed well and be valiant.,"Be valiant , and speed well ."
15917,"Good night, kind lords and gentlemen, once more, good night.","Once more , good night , kind lords and gentlemen ."
15918,"Look on my forces with a gracious eye, my captain, who account myself.","O Thou , whose captain I account myself , Look on my forces with a gracious eye ."
15919,Make the ministers of chastisement that they may praise thee in the victory.,"Make us thy ministers of chastisement , That we may praise thee in the victory !"
15920,I let fall the windows of my eyes and I commend my soul to thee.,"To thee I do commend my watchful soul , Ere I let fall the windows of mine eyes ."
15921,"Sleeping and waking to defend me, O!","Sleeping and waking , O , defend me still !"
15922,"Let fall the lance, think upon Vaughan, and be guilty of fear.","Think upon Vaughan , and with guilty fear Let fall thy lance ."
15923,"Despair, and die!","Despair , and die !"
15924,Edward's sons want the best for them.,Edward's unhappy sons do bid thee flourish .
15925,Do you think about Lord Hastings?,Think on Lord Hastings .
15926,Despair and death!,Despair and die !
15927,The wife of the adversary prays for her husband.,Thy adversary's wife doth pray for thee .
15928,I felt tyranny the last time I was around.,The last was I that felt thy tyranny .
15929,"In the battle, think on Buckingham, and die in terror of your guiltiness.","O , in the battle think on Buckingham , And die in terror of thy guiltiness ."
15930,"Dream on, dream on, of bloody actions and death.","Dream on , dream on , of bloody deeds and death ."
15931,"Be not dismayed, but cheer your heart, and be happy.","But cheer thy heart , and be thou not dismayed ."
15932,"Give me another horse, I need it!",Give me another horse !
15933,I want my wounds to be bandaged.,Bind up my wounds !
15934,"I did but dream but have mercy on you, Jesu.","Have mercy , Jesu ! , Soft , I did but dream ."
15935,How dost Thou afflict me?,"O coward conscience , how dost thou afflict me !"
15936,What do I worry about?,What do I fear ?
15937,Is that myself?,Myself ?
15938,There's nothing else by that.,There's none else by .
15939,I and Richard both love Richard.,"Richard loves Richard ; that is , I and I ."
15940,Is there a murderer in this place?,Is there a murderer here ?
15941,"No, that's not true.",No .
15942,I am indeed.,"Yes , I am ."
15943,Then take flight!,Then fly !
15944,"What did I say, from myself?","What , from myself ?"
15945,I don't love myself at all.,"Alack , I love myself ."
15946,"Wherefore, wherefore?",Wherefore ?
15947,For any good that I have done for myself.,For any good That I myself have done unto myself ?
15948,"No, no!","O , no !"
15949,I don't like myself for the things I do for myself.,"Alas , I rather hate myself For hateful deeds committed by myself ."
15950,I am a bad person.,I am a villain .
15951,It's a foolish thing to say that thyself speak well.,"Fool , of thyself speak well ."
15952,"Do not flatter, fool.","Fool , do not flatter ."
15953,"My lord, I am indebted to you.",My lord .
15954,"Who is there, Zounds?","Zounds , who is there ?"
15955,"My lord, 'tis I. Ratcliffe.","Ratcliffe , my lord , 'tis I ."
